"№","Код","name","size","palletSize","weight","opt","price"
"117","З-00720","Бетонный блок колотый 39х12х19 Элит (2%-130)","Поддон 120*80","96","12","125.28","144"
"118","З-00750","Бетонный блок колотый 39х12х19 Элит (2%-960)","Поддон 120*80","96","12","125.28","144"
"","","Полублок столба колотый","","","","",""
"119","З-00694","_Полублок столба колотый 190х190х190мм серый","Поддон 120*80","96","11","57.42","66"
"120","З-00730","Полублок столба колотый 190х190х190мм  красн № 130","Поддон 120*80","96","11","69.59999999999999","80"
"121","З-00726","Полублок столба колотый 190х190х190мм бежевый № 960","Поддон 120*80","96","11","69.59999999999999","80"
"122","З-00727","Полублок столба колотый 190х190х190мм Белый","Поддон 120*80","96","11","92.22","106"
"123","З-00728","Полублок столба колотый 190х190х190мм коричневый № 655","Поддон 120*80","96","11","69.59999999999999","80"
"124","З-00731","Полублок столба колотый 190х190х190мм оливковый 420","Поддон 120*80","96","11","69.59999999999999","80"
"125","З-00732","Полублок столба колотый 190х190х190мм терракота 503","Поддон 120*80","96","11","69.59999999999999","80"
"126","З-00733","Полублок столба колотый 190х190х190мм черный № 330","Поддон 120*80","96","11","69.59999999999999","80"
"127","З-00734","Полублок столба колотый 190х190х190мм элит (2% - 420)","Поддон 120*80","96","11","105.27","121"
"128","З-00735","Полублок столба колотый 190х190х190мм элит (2% - 503)","Поддон 120*80","96","11","105.27","121"
"129","З-00792","Полублок столба колотый 190х190х190мм  Элит (2%-130)","Поддон 120*80","96","11","105.27","121"
"130","З-00736","Полублок столба колотый 190х190х190мм  Элит (1%-420, 0,3%-960)","Поддон 120*80","96","11","105.27","121"
"","","Прочее","","","","",""
"131","З-00895","Плита (стрелковое место)  90х90х6 серый","Поддон 120*80"," "," "," ","500"
"132","З-00829","Плита для закрытия каналов связи"," "," "," ","156.6","180"
"133","З-00827","Столб маркерный для кабеля 145х20х10 серый","Поддон 120*80"," "," "," ","500"
"","","02. МАФ","","","","",""
"","","Крышка заборная  20х22х6 колотая","","","","",""
"134","О-00075","Крышка заборная 20х22х6 колотая серый","Поддон 120*80","132","5.8","98.31","113"
"135","О-00101","Крышка заборная 20х22х6 колотая бежевый № 960","Поддон 120*80","132","5.8","113.1","130"
"136","О-00076","Крышка заборная 20х22х6 колотая Белый","Поддон 120*80","132","5.8","146.16","168"
"137","О-00078","Крышка заборная 20х22х6 колотая коричневый № 655","Поддон 120*80","132","5.8","113.1","130"
"138","О-00079","Крышка заборная 20х22х6 колотая красн № 130","Поддон 120*80","132","5.8","113.1","130"
"139","О-00077","Крышка заборная 20х22х6 колотая оливковый № 420","Поддон 120*80","132","5.8","113.1","130"
"140","О-00080","Крышка заборная 20х22х6 колотая терракот № 503","Поддон 120*80","132","5.8","113.1","130"
"141","О-00081","Крышка заборная 20х22х6 колотая черный № 330","Поддон 120*80","132","5.8","113.1","130"
"142","З-00661","Крышка заборная 20х22х6 колотая Элит (1%-420, 0,3%-960)","Поддон 120*80","132","5.8","164.43","189"
"143","З-00743","Крышка заборная 20х6х22 колотая элит (2% - 420)","Поддон 120*80","132","5.8","164.43","189"
"144","З-00334","Крышка заборная 20х22х6 колотая Элит (2% - 503)","Поддон 120*80","132","5.8","164.43","189"
"","","Крышка заборная  40х15х4 закругл.","","","","",""
"145","Ц-00110","Крышка заборная 40х15х4 закругл. серый","Поддон 120*80","155","5.5","78.3","90"
"146","Ц-00115","Крышка заборная 40х15х4 закругл. бежевый № 960","Поддон 120*80","155","5.5","91.34999999999999","105"
"147","Ц-00118","Крышка заборная 40х15х4 закругл. Белый","Поддон 120*80","155","5.5","115.71","133"
"148","Ц-00116","Крышка заборная 40х15х4 закругл. коричневый № 655","Поддон 120*80","155","5.5","91.34999999999999","105"
"149","Ц-00111","Крышка заборная 40х15х4 закругл. красн № 130","Поддон 120*80","155","5.5","91.34999999999999","105"
"150","Ц-00114","Крышка заборная 40х15х4 закругл. оливковый № 420","Поддон 120*80","155","5.5","91.34999999999999","105"
"151","Ц-00112","Крышка заборная 40х15х4 закругл. терракот № 503","Поддон 120*80","155","5.5","91.34999999999999","105"
"152","Ц-00113","Крышка заборная 40х15х4 закругл. черный № 330","Поддон 120*80","155","5.5","91.34999999999999","105"
"153","З-00172","Крышка заборная 40х15х4 закругл. Элит (1%-420, 0,3%-960)","Поддон 120*80","155","5.5","133.11","153"
"154","З-00470","Крышка заборная 40х15х4 закругл. элит (2% - 420)","Поддон 120*80","155","5.5","133.11","153"
"155","З-00409","Крышка заборная 40х15х4 закругл. элит (2% - 503)","Поддон 120*80","155","5.5","133.11","153"
"","","Крышка заборная  40х15х4 прямая","","","","",""
"156","Ц-00130","Крышка заборная 40х15х4 прямая серый","Поддон 120*80","155","5.4","70.47","81"
"157","Ц-00135","Крышка заборная 40х15х4 прямая бежевый № 960","Поддон 120*80","155","5.4","86.13","99"
"158","Ц-00138","Крышка заборная 40х15х4 прямая Белый","Поддон 120*80","155","5.4","108.75","125"
"159","Ц-00136","Крышка заборная 40х15х4 прямая коричневый № 655","Поддон 120*80","155","5.4","86.13","99"
"160","Ц-00131","Крышка заборная 40х15х4 прямая красн № 130","Поддон 120*80","155","5.4","86.13","99"
"161","Ц-00134","Крышка заборная 40х15х4 прямая оливковый № 420","Поддон 120*80","155","5.4","86.13","99"
"162","Ц-00132","Крышка заборная 40х15х4 прямая терракот № 503","Поддон 120*80","155","5.4","86.13","99"
"163","Ц-00133","Крышка заборная 40х15х4 прямая черный № 330","Поддон 120*80","155","5.4","86.13","99"
"","","Крышка заборная  40х15х4 с фаской","","","","",""
"164","Ц-00120","_Крышка заборная 40х15х4 с фаской серый","Поддон 120*80","155","5.3","70.47","81"
"165","Ц-00125","Крышка заборная 40х15х4 с фаской бежевый № 960","Поддон 120*80","155","5.3","86.13","99"
"166","Ц-00128","Крышка заборная 40х15х4 с фаской Белый","Поддон 120*80","155","5.3","108.75","125"
"167","Ц-00126","Крышка заборная 40х15х4 с фаской коричневый № 655","Поддон 120*80","155","5.3","86.13","99"
"168","Ц-00121","Крышка заборная 40х15х4 с фаской красн № 130","Поддон 120*80","155","5.3","86.13","99"
"169","Ц-00124","Крышка заборная 40х15х4 с фаской оливковый № 420","Поддон 120*80","155","5.3","86.13","99"
"170","Ц-00122","Крышка заборная 40х15х4 с фаской терракот № 503","Поддон 120*80","155","5.3","86.13","99"
"171","Ц-00123","Крышка заборная 40х15х4 с фаской черный № 330","Поддон 120*80","155","5.3","86.13","99"
"172","З-00496","Крышка заборная 40х15х4 с фаской элит (1%-420, 0,3%-960)","Поддон 120*80","155","5.3","126.15","145"
"173","З-00902","Крышка заборная 40х15х4 с фаской Элит (2% - 420)","Поддон 120*80","155","5.3","126.15","145"
"174","З-00484","Крышка заборная 40х15х4 с фаской элит (2% - 503)","Поддон 120*80","155","5.3","126.15","145"
"","","Крышка заборная  50х25х5","","","","",""
"175","Ц-00099","Крышка заборная  50х25х5 серый","Поддон 120*80","70","12","144.42","166"
"176","Ц-00105","Крышка заборная  50х25х5 бежевый № 960","Поддон 120*80","70","12","183.57","211"
"177","Ц-00108","Крышка заборная  50х25х5 Белый","Поддон 120*80","70","12","234.9","270"
"178","Ц-00106","Крышка заборная  50х25х5 коричневый № 655","Поддон 120*80","70","12","183.57","211"
"179","Ц-00100","Крышка заборная  50х25х5 красн № 130","Поддон 120*80","70","12","183.57","211"
"180","Ц-00104","Крышка заборная  50х25х5 оливковый 420","Поддон 120*80","70","12","183.57","211"
"181","Ц-00101","Крышка заборная  50х25х5 терракота 503","Поддон 120*80","70","12","183.57","211"
"182","Ц-00103","Крышка заборная  50х25х5 черный № 330","Поддон 120*80","70","12","183.57","211"
