Наименование товаров,Тара,в пал.,Вес,Цена
Крышка заборная 35х50х9 двускатная элит (2% - 420),Поддон 120*80,32,23.75,"433,00"
Крышка заборная 35х50х9 двускатная элит (2% - 503),Поддон 120*80,32,23.75,"433,00"
Крышка заборная 39х29х6,,,,
"Крышка заборная 39х29х6 Элит (0,5%-420)",,56,12.25,"132,00"
"Крышка заборная 39х29х6 Элит (0,8%-420)",,56,12.25,"132,00"
Крышка заборная 40х5х17 двускатная,,,,
_Крышка заборная 40х5х17 двускатная серый (базовый),Поддон 120*80,98,6.75,"95,00"
Крышка заборная 40х5х17 двускатная бежевый № 960,Поддон 120*80,98,6.75,"114,00"
Крышка заборная 40х5х17 двускатная Белый,Поддон 120*80,98,6.75,"142,00"
Крышка заборная 40х5х17 двускатная коричневый № 655,Поддон 120*80,98,6.75,"114,00"
Крышка заборная 40х5х17 двускатная кофе+молоко F8000,Поддон 120*80,98,6.75,"114,00"
Крышка заборная 40х5х17 двускатная красн № 130,Поддон 120*80,98,6.75,"114,00"
Крышка заборная 40х5х17 двускатная оливковый 420,Поддон 120*80,98,6.75,"114,00"
Крышка заборная 40х5х17 двускатная терракота 503,Поддон 120*80,98,6.75,"114,00"
Крышка заборная 40х5х17 двускатная черный № 330,Поддон 120*80,98,6.75,"114,00"
Крышка заборная 40х5х17 двускатная Элит (0.8%-420),Поддон 120*80,98,6.75,"164,00"
"Крышка заборная 40х5х17 двускатная элит (1%-420, 0,3%-960)",Поддон 120*80,98,6.75,"164,00"
Крышка заборная 40х5х17 двускатная элит (2% - 420),Поддон 120*80,98,6.75,"164,00"
Крышка заборная 40х5х17 двускатная элит (2% - 503),Поддон 120*80,98,6.75,"164,00"
Крышка заборная 40х5х17 двускатная Элит (2%-130),Поддон 120*80,98,6.75,"164,00"
Крышка заборная 40х5х17 двускатная Элит (2%-960),Поддон 120*80,98,6.75,"164,00"
Крышка заборная 40х5х17 закругленная,,,,
_Крышка заборная 40х5х17 закругл серый (базовый),Поддон 120*80,145,5,"95,00"
Крышка заборная 40х5х17 закругл бежевый № 960,Поддон 120*80,145,5,"114,00"
Крышка заборная 40х5х17 закругл Белый,Поддон 120*80,145,5,"142,00"
Крышка заборная 40х5х17 закругл коричневый № 655,Поддон 120*80,145,5,"114,00"
Крышка заборная 40х5х17 закругл кофе+молоко F8000,Поддон 120*80,145,5,"114,00"
Крышка заборная 40х5х17 закругл красн № 130,Поддон 120*80,145,5,"114,00"
Крышка заборная 40х5х17 закругл оливковый 420,Поддон 120*80,145,5,"114,00"
Крышка заборная 40х5х17 закругл терракота 503,Поддон 120*80,145,5,"114,00"
Крышка заборная 40х5х17 закругл черный № 330,Поддон 120*80,145,5,"114,00"
"Крышка заборная 40х5х17 закругл элит (0,7%- 960, 0,3%- 420)",Поддон 120*80,145,5,"164,00"
"Крышка заборная 40х5х17 закругл элит (1%-420, 0,3%-960)",Поддон 120*80,145,5,"164,00"
Крышка заборная 40х5х17 закругл Элит (2%- 503),Поддон 120*80,145,5,"164,00"
Крышка заборная 40х6х22,,,,
_Крышка заборная 40х6х22 серый (базовый),Поддон 120*80,98,6.75,"150,00"
Крышка заборная 40х6х22 Белый,Поддон 120*80,98,6.75,"230,00"
Крышка заборная 40х6х22 коричневый № 655,Поддон 120*80,98,6.75,"180,00"
Крышка заборная 40х6х22 элит (2% - 420),Поддон 120*80,98,6.75,"270,00"
Крышка отлив 39х10х5,,,,
Крышка отлив 39х10х5 серый (базовый),Поддон 120*80,168,3.51,"67,00"
Крышка столба 39х22х6,,,,
Крышка столба 39х22х6 серый (базовый),Поддон 120*80,70,9.27,"84,00"
Крышка столба 40х40,,,,
_Крышка столба 40х40 серый (базовый),Поддон 120*80,20,19,"240,00"
Крышка столба 40х40 бежевый № 960,Поддон 120*80,20,19,"280,00"
Крышка столба 40х40 Белый,Поддон 120*80,20,19,"331,00"
